death_cat,educ_cat,race_cat,date,pop,fitted,se,upper,lower
Alcohol,All levels,Total,2020-12-26,39445514.03781695,345.65241732642335,35.88468359942411,415.9863971812946,275.3184374715521
Benzodiazepine,All levels,Total,2020-12-26,39445514.03781695,273.47930295940034,23.20589303647584,318.96285331089297,227.9957526079077
Cocaine,All levels,Total,2020-12-26,39445514.03781695,90.13040033234253,33.7924806660797,156.36366243785875,23.89713822682633
Drug poisoning,All levels,Total,2020-12-26,39445514.03781695,2083.60538054805,81.09453880239083,2242.550676600736,1924.6600844953641
Heroin,All levels,Total,2020-12-26,39445514.03781695,-124.62670550283484,35.841810244327625,-54.3767574239527,-194.876653581717
Intentional drug poisoning,All levels,Total,2020-12-26,39445514.03781695,-60.24312208331791,23.12248071392424,-14.923059884026394,-105.56318428260943
Methamphetamine,All levels,Total,2020-12-26,39445514.03781695,813.1234828196081,59.647601698363516,930.0327821484005,696.2141834908156
Natural opioid,All levels,Total,2020-12-26,39445514.03781695,75.24392218350827,30.053071185351186,134.1479417067966,16.33990266021995
Opioids,All levels,Total,2020-12-26,39445514.03781695,1766.2342565249055,58.90136012138009,1881.6809223628104,1650.7875906870006
Synthetic opioid,All levels,Total,2020-12-26,39445514.03781695,1123.5990774329712,57.58758411454352,1236.4707422974764,1010.7274125684659
Unintentional drug poisoning,All levels,Total,2020-12-26,39445514.03781695,2078.3297427413086,78.02146217946502,2231.25180861306,1925.4076768695572
Drug poisoning,All levels,Non-Hispanic Asian,2020-12-26,5983037.254465731,73.0897239348176,14.608322009740455,101.7220350739089,44.457412795726306
Unintentional drug poisoning,All levels,Non-Hispanic Asian,2020-12-26,5983037.254465731,78.97000242910664,13.246396473270027,104.93293951671589,53.007065341497395
Cocaine,All levels,Non-Hispanic Black,2020-12-26,2183275.022547341,22.234767088317636,17.804058268248145,57.130721294084,-12.66118711744873
Drug poisoning,All levels,Non-Hispanic Black,2020-12-26,2183275.022547341,219.34518818605065,27.147628810431705,272.5545406544968,166.1358357176045
Methamphetamine,All levels,Non-Hispanic Black,2020-12-26,2183275.022547341,45.540056545143415,20.57737576640413,85.87171304729551,5.208400042991322
Opioids,All levels,Non-Hispanic Black,2020-12-26,2183275.022547341,142.83787161852854,19.048809316375472,180.17353787862447,105.5022053584326
Unintentional drug poisoning,All levels,Non-Hispanic Black,2020-12-26,2183275.022547341,218.40283407742334,26.83040456266296,270.99042702024275,165.81524113460392
Alcohol,All levels,Hispanic,2020-12-26,15631939.53208434,119.30296632378142,21.511807274281367,161.4661085813729,77.13982406618993
Cocaine,All levels,Hispanic,2020-12-26,15631939.53208434,14.899157820119157,18.710625957063584,51.571984695963785,-21.77366905572547
Drug poisoning,All levels,Hispanic,2020-12-26,15631939.53208434,667.6422512702928,42.19457025860105,750.3436089771509,584.9408935634348
Heroin,All levels,Hispanic,2020-12-26,15631939.53208434,-38.153977414586784,20.11773808850732,1.2767892388875595,-77.58474406806113
Methamphetamine,All levels,Hispanic,2020-12-26,15631939.53208434,280.0827637066672,30.155801111869376,339.18813388593117,220.97739352740322
Natural opioid,All levels,Hispanic,2020-12-26,15631939.53208434,22.977928808638012,13.03844369171175,48.53327844439304,-2.5774208271170167
Opioids,All levels,Hispanic,2020-12-26,15631939.53208434,573.1039017401902,31.711407179726102,635.2582598124533,510.949543667927
Synthetic opioid,All levels,Hispanic,2020-12-26,15631939.53208434,341.0038128141466,32.101877197859174,403.9234921219506,278.08413350634265
Unintentional drug poisoning,All levels,Hispanic,2020-12-26,15631939.53208434,651.9370759662949,41.3707989943375,733.0238419951963,570.8503099373934
Drug poisoning,All levels,Other Non-Hispanic,2020-12-26,1503486.2756763375,197.94908956202445,17.358976881567187,231.97268424989613,163.92549487415278
Unintentional drug poisoning,All levels,Other Non-Hispanic,2020-12-26,1503486.2756763375,185.70159965949944,17.24859629806163,219.50884840370023,151.89435091529865
Alcohol,All levels,Non-Hispanic White,2020-12-26,14147394.723755557,103.1783435843043,26.654728464232658,155.42161137420032,50.93507579440829
Benzodiazepine,All levels,Non-Hispanic White,2020-12-26,14147394.723755557,101.37796196647253,20.11568517280531,140.80470490517092,61.951219027774115
Cocaine,All levels,Non-Hispanic White,2020-12-26,14147394.723755557,-4.710617341069463,20.900416192002698,36.25419839525582,-45.67543307739475
Drug poisoning,All levels,Non-Hispanic White,2020-12-26,14147394.723755557,851.2386128379158,57.638617398850286,964.2103029396624,738.2669227361691
Heroin,All levels,Non-Hispanic White,2020-12-26,14147394.723755557,-92.92145896581519,27.290276821591398,-39.43251639549605,-146.41040153613432
Intentional drug poisoning,All levels,Non-Hispanic White,2020-12-26,14147394.723755557,-57.06994508309887,19.885150248136284,-18.095050596751754,-96.044839569446
Methamphetamine,All levels,Non-Hispanic White,2020-12-26,14147394.723755557,350.37584502710376,42.69920977544848,434.06629618698275,266.6853938672248
Natural opioid,All levels,Non-Hispanic White,2020-12-26,14147394.723755557,30.571466515106465,25.18374371452759,79.93160419558055,-18.78867116536761
Opioids,All levels,Non-Hispanic White,2020-12-26,14147394.723755557,746.5144316460004,42.992314024340914,830.7793671337085,662.2494961582922
Synthetic opioid,All levels,Non-Hispanic White,2020-12-26,14147394.723755557,479.2813092180554,38.095201273903335,553.9479037149059,404.6147147212049
Unintentional drug poisoning,All levels,Non-Hispanic White,2020-12-26,14147394.723755557,876.3799179617872,56.22948273878186,986.5897041297997,766.1701317937748
