death_cat,educ_cat,race_cat,date,pop,fitted,se,upper,lower
Alcohol,Less than BA/BS,Total,2020-12-26,7607305.953163203,14.649850077448903,18.335849415744065,50.58811493230727,-21.288414777409464
Benzodiazepine,Less than BA/BS,Total,2020-12-26,7607305.953163203,66.867391229817855,11.316758214387967,89.04823733001827,44.68654512961744
Cocaine,Less than BA/BS,Total,2020-12-26,7607305.953163203,49.47373890803214,13.496162408350125,75.92621722839839,23.021260587665893
Drug poisoning,Less than BA/BS,Total,2020-12-26,7607305.953163203,392.4787348826229,35.038073054907564,461.1533580702417,323.8041116950041
Heroin,Less than BA/BS,Total,2020-12-26,7607305.953163203,-46.77976351610448,16.730404378400586,-13.988170934439331,-79.57135609776964
Intentional drug poisoning,Less than BA/BS,Total,2020-12-26,7607305.953163203,-19.635684164459754,12.27424553454766,4.42183708325366,-43.69320541217317
Methamphetamine,Less than BA/BS,Total,2020-12-26,7607305.953163203,143.09606431864634,25.046993417531567,192.18817141700822,94.00395722028446
Natural opioid,Less than BA/BS,Total,2020-12-26,7607305.953163203,36.257986578238345,14.348589092837537,64.38122120019992,8.134751956276773
Opioids,Less than BA/BS,Total,2020-12-26,7607305.953163203,353.48814225975303,25.714825806342997,403.8892008401853,303.08708367932076
Synthetic opioid,Less than BA/BS,Total,2020-12-26,7607305.953163203,287.0343898693219,22.27443658293692,330.69228557187824,243.37649416676553
Unintentional drug poisoning,Less than BA/BS,Total,2020-12-26,7607305.953163203,397.72435088419223,33.32824225728438,463.0477057084696,332.40099605991486
Alcohol,Less than HS,Total,2020-12-26,4239293.390362231,44.78909836489719,15.303360360842033,74.78368467214757,14.79451205764681
Drug poisoning,Less than HS,Total,2020-12-26,4239293.390362231,190.47576656157355,32.75247276729664,254.67061318547496,126.28091993767214
Heroin,Less than HS,Total,2020-12-26,4239293.390362231,0.8276232158280985,14.065609105432669,28.39621706247613,-26.740970630819934
Methamphetamine,Less than HS,Total,2020-12-26,4239293.390362231,114.39676238118223,26.251700136254666,165.85009464824137,62.94343011412308
Natural opioid,Less than HS,Total,2020-12-26,4239293.390362231,-5.339456022544935,10.6201001956117,15.475940360853995,-26.154852405943863
Opioids,Less than HS,Total,2020-12-26,4239293.390362231,187.44177530891787,22.408701667904253,231.3628305780102,143.52072003982553
Synthetic opioid,Less than HS,Total,2020-12-26,4239293.390362231,74.21208967912104,23.12528577760515,119.53764980322713,28.886529555014945
Unintentional drug poisoning,Less than HS,Total,2020-12-26,4239293.390362231,188.99666755686548,32.27082896519162,252.24749232864104,125.7458427850899
Drug poisoning,Graduate,Total,2020-12-26,3588790.0794671215,44.722884095792814,12.75643873579448,69.72550401794999,19.720264173635634
Unintentional drug poisoning,Graduate,Total,2020-12-26,3588790.0794671215,47.57230501135577,10.986107391991604,69.10507549965932,26.03953452305223
Alcohol,BA/BS,Total,2020-12-26,6182616.391630842,22.627774920307395,11.882731696645115,45.917929045731825,-0.6623792051170305
Drug poisoning,BA/BS,Total,2020-12-26,6182616.391630842,116.40183475845258,20.891124482560944,157.34843874427202,75.45523077263313
Opioids,BA/BS,Total,2020-12-26,6182616.391630842,100.01299820117086,15.557084734096524,130.50488428000006,69.52111212234168
Unintentional drug poisoning,BA/BS,Total,2020-12-26,6182616.391630842,110.47156603118069,18.355974597738996,146.4492762427491,74.49385581961226
Alcohol,HS / GED,Total,2020-12-26,5510145.33522656,177.93157025273533,20.30558297735714,217.73051288835532,138.13262761711533
Benzodiazepine,HS / GED,Total,2020-12-26,5510145.33522656,72.94271589943133,13.653998425669668,99.70455281374389,46.18087898511878
Cocaine,HS / GED,Total,2020-12-26,5510145.33522656,69.39442538649209,18.90262325301347,106.44356696239848,32.34528381058569
Drug poisoning,HS / GED,Total,2020-12-26,5510145.33522656,808.6182235380653,49.836713158694195,906.2981813291059,710.9382657470247
Heroin,HS / GED,Total,2020-12-26,5510145.33522656,-54.84396611275159,24.011877142324046,-7.780686913796458,-101.90724531170672
Intentional drug poisoning,HS / GED,Total,2020-12-26,5510145.33522656,-15.812156858135989,12.89380321639847,9.459697446005013,-41.084011162276994
Methamphetamine,HS / GED,Total,2020-12-26,5510145.33522656,411.67514800745994,37.59376503920107,485.35892748429404,337.99136853062583
Natural opioid,HS / GED,Total,2020-12-26,5510145.33522656,40.09445485529641,18.911367050968078,77.16073427519385,3.0281754353989783
Opioids,HS / GED,Total,2020-12-26,5510145.33522656,607.2204563260931,34.814223786520024,675.4563349476723,538.9845777045139
Synthetic opioid,HS / GED,Total,2020-12-26,5510145.33522656,448.1395116253741,30.641958194189918,508.1977496859863,388.0812735647619
Unintentional drug poisoning,HS / GED,Total,2020-12-26,5510145.33522656,801.0391021459686,48.52538390421778,896.1488545982355,705.9293496937017
