start,end_training,test_start,test_end,holdout_start,holdout_end,training_set
2016-01-01,2018-10-20,2018-10-27,2019-07-13,2020-01-04,2020-12-26,1
2016-01-01,2018-10-27,2018-11-03,2019-07-20,2020-01-04,2020-12-26,2
2016-01-01,2018-11-03,2018-11-10,2019-07-27,2020-01-04,2020-12-26,3
2016-01-01,2018-11-10,2018-11-17,2019-08-03,2020-01-04,2020-12-26,4
2016-01-01,2018-11-17,2018-11-24,2019-08-10,2020-01-04,2020-12-26,5
2016-01-01,2018-11-24,2018-12-01,2019-08-17,2020-01-04,2020-12-26,6
2016-01-01,2018-12-01,2018-12-08,2019-08-24,2020-01-04,2020-12-26,7
2016-01-01,2018-12-08,2018-12-15,2019-08-31,2020-01-04,2020-12-26,8
2016-01-01,2018-12-15,2018-12-22,2019-09-07,2020-01-04,2020-12-26,9
2016-01-01,2018-12-22,2018-12-29,2019-09-14,2020-01-04,2020-12-26,10
2016-01-01,2018-12-29,2019-01-05,2019-09-21,2020-01-04,2020-12-26,11
2016-01-01,2019-01-05,2019-01-12,2019-09-28,2020-01-04,2020-12-26,12
2016-01-01,2019-01-12,2019-01-19,2019-10-05,2020-01-04,2020-12-26,13
2016-01-01,2019-01-19,2019-01-26,2019-10-12,2020-01-04,2020-12-26,14
2016-01-01,2019-01-26,2019-02-02,2019-10-19,2020-01-04,2020-12-26,15
2016-01-01,2019-02-02,2019-02-09,2019-10-26,2020-01-04,2020-12-26,16
2016-01-01,2019-02-09,2019-02-16,2019-11-02,2020-01-04,2020-12-26,17
2016-01-01,2019-02-16,2019-02-23,2019-11-09,2020-01-04,2020-12-26,18
2016-01-01,2019-02-23,2019-03-02,2019-11-16,2020-01-04,2020-12-26,19
2016-01-01,2019-03-02,2019-03-09,2019-11-23,2020-01-04,2020-12-26,20
2016-01-01,2019-03-09,2019-03-16,2019-11-30,2020-01-04,2020-12-26,21
2016-01-01,2019-03-16,2019-03-23,2019-12-07,2020-01-04,2020-12-26,22
2016-01-01,2019-03-23,2019-03-30,2019-12-14,2020-01-04,2020-12-26,23
2016-01-01,2019-03-30,2019-04-06,2019-12-21,2020-01-04,2020-12-26,24
2016-01-01,2019-04-06,2019-04-13,2019-12-28,2020-01-04,2020-12-26,25
