region,region_name,race_cat,educ_cat,death_cat,pop,fitted,se,upper,lower
1,Superior California,Total,All levels,All causes,3276738.3614656283,2652.822376136861,167.43340158564644,2980.991843244728,2324.6529090289937
2,North Coast,Total,All levels,All causes,946828.4110723308,567.8643958568845,94.84501123783309,753.7606178830373,381.96817383073164
3,San Francisco Bay Area,Total,All levels,All causes,7079476.121444761,4217.126248333252,216.4122672880202,4641.294292217772,3792.9582044487324
4,Northern San Joaquin Valley,Total,All levels,All causes,1940834.0099886188,3033.3109362975547,121.16743525970918,3270.7991094065846,2795.8227631885247
5,Central Coast,Total,All levels,All causes,2337506.942220776,1392.802288060071,128.92423582333276,1645.4937902738034,1140.1107858463388
6,Southern San Joaquin Valley,Total,All levels,All causes,2555595.966073395,3544.8981494928285,133.48533600007792,3806.529408052981,3283.266890932676
7,Inland Empire,Total,All levels,All causes,4693988.025737882,7430.504093061126,185.31581734629077,7793.723095059856,7067.285091062396
8,Los Angeles County,Total,All levels,All causes,9937643.774789272,15137.995984918227,271.61407178151165,15670.35956560999,14605.632404226464
9,Orange County,Total,All levels,All causes,3163817.397893365,2479.5344060252264,145.521339071421,2764.7562306052114,2194.3125814452414
10,San Diego - Impreial,Total,All levels,All causes,3506956.582653598,3041.9067055300757,154.52126696049507,3344.768388772646,2739.045022287505
