race_cat,educ_cat,death_cat,date,date_start,model,standard_error,segment,mpc,mpc_lower,mpc_upper,mpc_pval,modeled_n_deaths
Non-Hispanic Asian,All levels,Alcohol,2016-01-31,2016-01-03,0.04413,0.0177,0,1.03,0.359,1.705,0.00319,2.4938079237
Non-Hispanic Asian,All levels,Alcohol,2016-02-29,2016-02-01,0.044579999999999995,0.02501,NA,NA,NA,NA,NA,2.5205322474
Non-Hispanic Asian,All levels,Alcohol,2016-03-31,2016-03-01,0.04504,0.030619999999999998,NA,NA,NA,NA,NA,2.5479380224
Non-Hispanic Asian,All levels,Alcohol,2016-04-30,2016-04-01,0.04551,0.0055899999999999995,NA,NA,NA,NA,NA,2.5758933059999998
Non-Hispanic Asian,All levels,Alcohol,2016-05-31,2016-05-01,0.04597999999999999,0.03058,NA,NA,NA,NA,NA,2.6039223473999997
Non-Hispanic Asian,All levels,Alcohol,2016-06-30,2016-06-01,0.04645,0.024960000000000003,NA,NA,NA,NA,NA,2.6319345714999995
Non-Hispanic Asian,All levels,Alcohol,2016-07-31,2016-07-01,0.04693,0.02491,NA,NA,NA,NA,NA,2.6646516104
Non-Hispanic Asian,All levels,Alcohol,2016-08-31,2016-08-01,0.04741,0.00556,NA,NA,NA,NA,NA,2.6976678762
Non-Hispanic Asian,All levels,Alcohol,2016-09-30,2016-09-01,0.0479,0.03038,NA,NA,NA,NA,NA,2.7311827969999998
Non-Hispanic Asian,All levels,Alcohol,2016-10-31,2016-10-01,0.04839,0.03031,NA,NA,NA,NA,NA,2.7650026644000003
Non-Hispanic Asian,All levels,Alcohol,2016-11-30,2016-11-01,0.04889,0.0247,NA,NA,NA,NA,NA,2.7993230862
Non-Hispanic Asian,All levels,Alcohol,2016-12-31,2016-12-01,0.04939,0.03486,NA,NA,NA,NA,NA,2.8339542429000004
Non-Hispanic Asian,All levels,Alcohol,2017-01-31,2017-01-01,0.0499,0.03478,NA,NA,NA,NA,NA,2.869281936
Non-Hispanic Asian,All levels,Alcohol,2017-02-28,2017-02-01,0.05042,0.03472,NA,NA,NA,NA,NA,2.9047173764
Non-Hispanic Asian,All levels,Alcohol,2017-03-31,2017-03-01,0.05094,0.0245,NA,NA,NA,NA,NA,2.9408655329999998
Non-Hispanic Asian,All levels,Alcohol,2017-04-30,2017-04-01,0.05146,0.029939999999999998,NA,NA,NA,NA,NA,2.9769383576
Non-Hispanic Asian,All levels,Alcohol,2017-05-31,2017-05-01,0.05199,0.0244,NA,NA,NA,NA,NA,3.013917489
Non-Hispanic Asian,All levels,Alcohol,2017-06-30,2017-06-01,0.05253000000000001,0.038489999999999996,NA,NA,NA,NA,NA,3.0513999363000006
Non-Hispanic Asian,All levels,Alcohol,2017-07-31,2017-07-01,0.053070000000000006,0.029779999999999997,NA,NA,NA,NA,NA,3.0862874421
Non-Hispanic Asian,All levels,Alcohol,2017-08-31,2017-08-01,0.05361000000000001,0.02429,NA,NA,NA,NA,NA,3.1213650516000007
Non-Hispanic Asian,All levels,Alcohol,2017-09-30,2017-09-01,0.05417000000000001,0.02426,NA,NA,NA,NA,NA,3.157562799600001
Non-Hispanic Asian,All levels,Alcohol,2017-10-31,2017-10-01,0.054720000000000005,0.03832,NA,NA,NA,NA,NA,3.1933721952000003
Non-Hispanic Asian,All levels,Alcohol,2017-11-30,2017-11-01,0.05529,0.02421,NA,NA,NA,NA,NA,3.2303033217
Non-Hispanic Asian,All levels,Alcohol,2017-12-31,2017-12-01,0.05586,0.04188,NA,NA,NA,NA,NA,3.2674335036000004
Non-Hispanic Asian,All levels,Alcohol,2018-01-31,2018-01-01,0.05643,0.02415,NA,NA,NA,NA,NA,3.3046418097
Non-Hispanic Asian,All levels,Alcohol,2018-02-28,2018-02-01,0.057010000000000005,0.02955,NA,NA,NA,NA,NA,3.3421365669000003
Non-Hispanic Asian,All levels,Alcohol,2018-03-31,2018-03-01,0.057600000000000005,0.01704,NA,NA,NA,NA,NA,3.3806718720000006
Non-Hispanic Asian,All levels,Alcohol,2018-04-30,2018-04-01,0.058190000000000006,0.03404,NA,NA,NA,NA,NA,3.4191594426000007
Non-Hispanic Asian,All levels,Alcohol,2018-05-31,2018-05-01,0.05879,0.017,NA,NA,NA,NA,NA,3.4584434453
Non-Hispanic Asian,All levels,Alcohol,2018-06-30,2018-06-01,0.0594,0.02941,NA,NA,NA,NA,NA,3.4982673660000003
Non-Hispanic Asian,All levels,Alcohol,2018-07-31,2018-07-01,0.06001,0.016970000000000002,NA,NA,NA,NA,NA,3.5360442425
Non-Hispanic Asian,All levels,Alcohol,2018-08-31,2018-08-01,0.06063,0.03392,NA,NA,NA,NA,NA,3.5745107682
Non-Hispanic Asian,All levels,Alcohol,2018-09-30,2018-09-01,0.06125,0.02398,NA,NA,NA,NA,NA,3.61295375
Non-Hispanic Asian,All levels,Alcohol,2018-10-31,2018-10-01,0.06188,0.00536,NA,NA,NA,NA,NA,3.652089532
Non-Hispanic Asian,All levels,Alcohol,2018-11-30,2018-11-01,0.06252,0.02933,NA,NA,NA,NA,NA,3.6917909952000003
Non-Hispanic Asian,All levels,Alcohol,2018-12-31,2018-12-01,0.06317,0.033850000000000005,NA,NA,NA,NA,NA,3.7321878305
Non-Hispanic Asian,All levels,Alcohol,2019-01-31,2019-01-01,0.06382,0.04144,NA,NA,NA,NA,NA,3.7726261227999998
Non-Hispanic Asian,All levels,Alcohol,2019-02-28,2019-02-01,0.06447,0.02391,NA,NA,NA,NA,NA,3.8129066598
Non-Hispanic Asian,All levels,Alcohol,2019-03-31,2019-03-01,0.06514,0.03779,NA,NA,NA,NA,NA,3.8546099936
Non-Hispanic Asian,All levels,Alcohol,2019-04-30,2019-04-01,0.06581,0.03378,NA,NA,NA,NA,NA,3.8962876309999994
Non-Hispanic Asian,All levels,Alcohol,2019-05-31,2019-05-01,0.06649000000000001,0.02387,NA,NA,NA,NA,NA,3.9386674651000004
Non-Hispanic Asian,All levels,Alcohol,2019-06-30,2019-06-01,0.06717000000000001,0.03773,NA,NA,NA,NA,NA,3.9810214845000003
Non-Hispanic Asian,All levels,Alcohol,2019-07-31,2019-07-01,0.06786,0.03373,NA,NA,NA,NA,NA,4.0240213182
Non-Hispanic Asian,All levels,Alcohol,2019-08-31,2019-08-01,0.06856000000000001,0.03769,NA,NA,NA,NA,NA,4.0677285608
Non-Hispanic Asian,All levels,Alcohol,2019-09-30,2019-09-01,0.06927,0.023819999999999997,NA,NA,NA,NA,NA,4.112002276499999
Non-Hispanic Asian,All levels,Alcohol,2019-10-31,2019-10-01,0.06997999999999999,0.033670000000000005,NA,NA,NA,NA,NA,4.156392119999999
Non-Hispanic Asian,All levels,Alcohol,2019-11-30,2019-11-01,0.07070000000000001,0.023799999999999998,NA,NA,NA,NA,NA,4.201349621000001
Non-Hispanic Asian,All levels,Alcohol,2019-12-31,2019-12-01,0.07143000000000001,0.016819999999999998,NA,NA,NA,NA,NA,4.247019224400001
Non-Hispanic Asian,All levels,Alcohol,2020-01-31,2020-01-01,0.07216000000000002,0.029119999999999997,NA,NA,NA,NA,NA,4.2927363424000005
Non-Hispanic Asian,All levels,Alcohol,2020-02-29,2020-02-01,0.07291,0.033600000000000005,NA,NA,NA,NA,NA,4.3395390392
Non-Hispanic Asian,All levels,Alcohol,2020-03-31,2020-03-01,0.07366000000000002,0.02375,NA,NA,NA,NA,NA,4.386539918800001
Non-Hispanic Asian,All levels,Alcohol,2020-04-30,2020-04-01,0.07442000000000001,0.023739999999999997,NA,NA,NA,NA,NA,4.434107324000001
Non-Hispanic Asian,All levels,Alcohol,2020-05-31,2020-05-01,0.07518000000000001,0.02905,NA,NA,NA,NA,NA,4.481800066800001
Non-Hispanic Asian,All levels,Alcohol,2020-06-30,2020-06-01,0.07596000000000001,0.037489999999999996,NA,NA,NA,NA,NA,4.530655468800001
Non-Hispanic Asian,All levels,Alcohol,2020-07-31,2020-07-01,0.07674000000000002,0.04433,NA,NA,NA,NA,NA,4.579638304200001
Non-Hispanic Asian,All levels,Alcohol,2020-08-31,2020-08-01,0.07753000000000002,0.04431,NA,NA,NA,NA,NA,4.6292690067
Non-Hispanic Asian,All levels,Alcohol,2020-09-30,2020-09-01,0.07833000000000001,0.03743,NA,NA,NA,NA,NA,4.679466315300001
Non-Hispanic Asian,All levels,Alcohol,2020-10-31,2020-10-01,0.07914,0.03346,NA,NA,NA,NA,NA,4.7303932758
Non-Hispanic Asian,All levels,Alcohol,2020-11-30,2020-11-01,0.07995,0.040959999999999996,NA,NA,NA,NA,NA,4.7812890255
Non-Hispanic Asian,All levels,Benzodiazepine,2016-01-31,2016-01-03,0.02849,0.03065,0,0.737,-0.146,1.629,0.10053,1.6099838601
Non-Hispanic Asian,All levels,Benzodiazepine,2016-02-29,2016-02-01,0.0287,0.01769,NA,NA,NA,NA,NA,1.622684511
Non-Hispanic Asian,All levels,Benzodiazepine,2016-03-31,2016-03-01,0.02891,0.025,NA,NA,NA,NA,NA,1.6354548896
Non-Hispanic Asian,All levels,Benzodiazepine,2016-04-30,2016-04-01,0.029119999999999997,0.01767,NA,NA,NA,NA,NA,1.6482094719999998
Non-Hispanic Asian,All levels,Benzodiazepine,2016-05-31,2016-05-01,0.029339999999999998,0.017660000000000002,NA,NA,NA,NA,NA,1.6615720241999998
Non-Hispanic Asian,All levels,Benzodiazepine,2016-06-30,2016-06-01,0.02955,0.024960000000000003,NA,NA,NA,NA,NA,1.6743523485
Non-Hispanic Asian,All levels,Benzodiazepine,2016-07-31,2016-07-01,0.029769999999999998,0.005569999999999999,NA,NA,NA,NA,NA,1.6903191655999998
Non-Hispanic Asian,All levels,Benzodiazepine,2016-08-31,2016-08-01,0.02999,0.017570000000000002,NA,NA,NA,NA,NA,1.7064555918
Non-Hispanic Asian,All levels,Benzodiazepine,2016-09-30,2016-09-01,0.030209999999999997,0.01754,NA,NA,NA,NA,NA,1.7225267703
Non-Hispanic Asian,All levels,Benzodiazepine,2016-10-31,2016-10-01,0.03043,0.0175,NA,NA,NA,NA,NA,1.7387689828
Non-Hispanic Asian,All levels,Benzodiazepine,2016-11-30,2016-11-01,0.03066,0.017460000000000003,NA,NA,NA,NA,NA,1.7555174028
Non-Hispanic Asian,All levels,Benzodiazepine,2016-12-31,2016-12-01,0.030889999999999997,0.024650000000000002,NA,NA,NA,NA,NA,1.7724407078999997
Non-Hispanic Asian,All levels,Benzodiazepine,2017-01-31,2017-01-01,0.03111,0.02459,NA,NA,NA,NA,NA,1.7888449104
Non-Hispanic Asian,All levels,Benzodiazepine,2017-02-28,2017-02-01,0.03134,0.024550000000000002,NA,NA,NA,NA,NA,1.8055105627999999
Non-Hispanic Asian,All levels,Benzodiazepine,2017-03-31,2017-03-01,0.03157,0.0245,NA,NA,NA,NA,NA,1.8225976615
Non-Hispanic Asian,All levels,Benzodiazepine,2017-04-30,2017-04-01,0.031810000000000005,0.01729,NA,NA,NA,NA,NA,1.8401945036000005
Non-Hispanic Asian,All levels,Benzodiazepine,2017-05-31,2017-05-01,0.03204,0.0244,NA,NA,NA,NA,NA,1.8573940439999999
Non-Hispanic Asian,All levels,Benzodiazepine,2017-06-30,2017-06-01,0.032279999999999996,0.01722,NA,NA,NA,NA,NA,1.8751035587999998
Non-Hispanic Asian,All levels,Benzodiazepine,2017-07-31,2017-07-01,0.03252,0.0172,NA,NA,NA,NA,NA,1.8912015756000002
Non-Hispanic Asian,All levels,Benzodiazepine,2017-08-31,2017-08-01,0.03276,0.02429,NA,NA,NA,NA,NA,1.9074038255999999
Non-Hispanic Asian,All levels,Benzodiazepine,2017-09-30,2017-09-01,0.033,0.02426,NA,NA,NA,NA,NA,1.92356604
Non-Hispanic Asian,All levels,Benzodiazepine,2017-10-31,2017-10-01,0.03324,0.029679999999999998,NA,NA,NA,NA,NA,1.9398335484
Non-Hispanic Asian,All levels,Benzodiazepine,2017-11-30,2017-11-01,0.03349,0.01712,NA,NA,NA,NA,NA,1.9566442077000001
Non-Hispanic Asian,All levels,Benzodiazepine,2017-12-31,2017-12-01,0.03373,0.00541,NA,NA,NA,NA,NA,1.9729776598000002
Non-Hispanic Asian,All levels,Benzodiazepine,2018-01-31,2018-01-01,0.033979999999999996,0.01708,NA,NA,NA,NA,NA,1.9899296241999997
