race_cat,educ_cat,death_cat,date,date_start,model,standard_error,segment,mpc,mpc_lower,mpc_upper,mpc_pval,modeled_n_deaths
Total,Less than BA/BS,Alcohol,2016-01-31,2016-01-03,0.24836000000000003,0.06276000000000001,0,0.544,0.194,0.896,0.00298,18.9367819116
Total,Less than BA/BS,Alcohol,2016-02-29,2016-02-01,0.24971000000000004,0.05552,NA,NA,NA,NA,NA,19.047738962400004
Total,Less than BA/BS,Alcohol,2016-03-31,2016-03-01,0.25107,0.05704,NA,NA,NA,NA,NA,19.1601007446
Total,Less than BA/BS,Alcohol,2016-04-30,2016-04-01,0.25243,0.05235000000000001,NA,NA,NA,NA,NA,19.272278258599997
Total,Less than BA/BS,Alcohol,2016-05-31,2016-05-01,0.25381000000000004,0.05997,NA,NA,NA,NA,NA,19.3863529816
Total,Less than BA/BS,Alcohol,2016-06-30,2016-06-01,0.25519,0.05552,NA,NA,NA,NA,NA,19.500241774
Total,Less than BA/BS,Alcohol,2016-07-31,2016-07-01,0.25658000000000003,0.05552,NA,NA,NA,NA,NA,19.628762567400003
Total,Less than BA/BS,Alcohol,2016-08-31,2016-08-01,0.25797000000000003,0.05997,NA,NA,NA,NA,NA,19.758270559500005
Total,Less than BA/BS,Alcohol,2016-09-30,2016-09-01,0.25938000000000005,0.06673000000000001,NA,NA,NA,NA,NA,19.888812266400002
Total,Less than BA/BS,Alcohol,2016-10-31,2016-10-01,0.26078999999999997,0.04897,NA,NA,NA,NA,NA,20.0203554069
Total,Less than BA/BS,Alcohol,2016-11-30,2016-11-01,0.26221,0.05704,NA,NA,NA,NA,NA,20.152160038399998
Total,Less than BA/BS,Alcohol,2016-12-31,2016-12-01,0.26363,0.05997,NA,NA,NA,NA,NA,20.2849734418
Total,Less than BA/BS,Alcohol,2017-01-31,2017-01-01,0.26507000000000003,0.06324,NA,NA,NA,NA,NA,20.4195852783
Total,Less than BA/BS,Alcohol,2017-02-28,2017-02-01,0.26651,0.057730000000000004,NA,NA,NA,NA,NA,20.5521371882
Total,Less than BA/BS,Alcohol,2017-03-31,2017-03-01,0.26796000000000003,0.06582,NA,NA,NA,NA,NA,20.688025974000002
Total,Less than BA/BS,Alcohol,2017-04-30,2017-04-01,0.26942000000000005,0.05915000000000001,NA,NA,NA,NA,NA,20.824166903600002
Total,Less than BA/BS,Alcohol,2017-05-31,2017-05-01,0.27088000000000007,0.054770000000000006,NA,NA,NA,NA,NA,20.961344512000004
Total,Less than BA/BS,Alcohol,2017-06-30,2017-06-01,0.27236000000000005,0.05322,NA,NA,NA,NA,NA,21.099546718800003
Total,Less than BA/BS,Alcohol,2017-07-31,2017-07-01,0.27384000000000003,0.05627,NA,NA,NA,NA,NA,21.209573431200003
Total,Less than BA/BS,Alcohol,2017-08-31,2017-08-01,0.27533,0.05915000000000001,NA,NA,NA,NA,NA,21.320170290100002
Total,Less than BA/BS,Alcohol,2017-09-30,2017-09-01,0.27682000000000007,0.04999,NA,NA,NA,NA,NA,21.430872905600005
Total,Less than BA/BS,Alcohol,2017-10-31,2017-10-01,0.27833,0.05915000000000001,NA,NA,NA,NA,NA,21.5429117813
Total,Less than BA/BS,Alcohol,2017-11-30,2017-11-01,0.27984000000000003,0.05915000000000001,NA,NA,NA,NA,NA,21.6550602048
Total,Less than BA/BS,Alcohol,2017-12-31,2017-12-01,0.28137000000000006,0.04999,NA,NA,NA,NA,NA,21.768544576200004
Total,Less than BA/BS,Alcohol,2018-01-31,2018-01-01,0.28290000000000004,0.06071,NA,NA,NA,NA,NA,21.88197552
Total,Less than BA/BS,Alcohol,2018-02-28,2018-02-01,0.28444,0.06341,NA,NA,NA,NA,NA,21.9966070532
Total,Less than BA/BS,Alcohol,2018-03-31,2018-03-01,0.28598000000000007,0.06725,NA,NA,NA,NA,NA,22.110703848800004
Total,Less than BA/BS,Alcohol,2018-04-30,2018-04-01,0.28754,0.06207,NA,NA,NA,NA,NA,22.2264595718
Total,Less than BA/BS,Alcohol,2018-05-31,2018-05-01,0.2891,0.05788,NA,NA,NA,NA,NA,22.341997811000002
Total,Less than BA/BS,Alcohol,2018-06-30,2018-06-01,0.29068000000000005,0.05788,NA,NA,NA,NA,NA,22.459189630800005
Total,Less than BA/BS,Alcohol,2018-07-31,2018-07-01,0.29226,0.05642,NA,NA,NA,NA,NA,22.569690822000002
Total,Less than BA/BS,Alcohol,2018-08-31,2018-08-01,0.29385000000000006,0.06207,NA,NA,NA,NA,NA,22.680453753000005
Total,Less than BA/BS,Alcohol,2018-09-30,2018-09-01,0.29545000000000005,0.06071,NA,NA,NA,NA,NA,22.7922450265
Total,Less than BA/BS,Alcohol,2018-10-31,2018-10-01,0.29705000000000004,0.05642,NA,NA,NA,NA,NA,22.903517442000002
Total,Less than BA/BS,Alcohol,2018-11-30,2018-11-01,0.29867000000000005,0.05931000000000001,NA,NA,NA,NA,NA,23.016597358800006
Total,Less than BA/BS,Alcohol,2018-12-31,2018-12-01,0.3003,0.0697,NA,NA,NA,NA,NA,23.129919813
Total,Less than BA/BS,Alcohol,2019-01-31,2019-01-01,0.30193,0.06767000000000001,NA,NA,NA,NA,NA,23.243108835399998
Total,Less than BA/BS,Alcohol,2019-02-28,2019-02-01,0.30357,0.062459999999999995,NA,NA,NA,NA,NA,23.3581390074
Total,Less than BA/BS,Alcohol,2019-03-31,2019-03-01,0.30522,0.06891,NA,NA,NA,NA,NA,23.4726053058
Total,Less than BA/BS,Alcohol,2019-04-30,2019-04-01,0.30688000000000004,0.059680000000000004,NA,NA,NA,NA,NA,23.588110246400003
Total,Less than BA/BS,Alcohol,2019-05-31,2019-05-01,0.30855,0.062459999999999995,NA,NA,NA,NA,NA,23.703847728
Total,Less than BA/BS,Alcohol,2019-06-30,2019-06-01,0.31022999999999995,0.06891,NA,NA,NA,NA,NA,23.820622762499998
Total,Less than BA/BS,Alcohol,2019-07-31,2019-07-01,0.31192000000000003,0.06512000000000001,NA,NA,NA,NA,NA,23.9381631552
Total,Less than BA/BS,Alcohol,2019-08-31,2019-08-01,0.31362,0.07013000000000001,NA,NA,NA,NA,NA,24.0559272972
Total,Less than BA/BS,Alcohol,2019-09-30,2019-09-01,0.31532000000000004,0.06109,NA,NA,NA,NA,NA,24.173966808400003
Total,Less than BA/BS,Alcohol,2019-10-31,2019-10-01,0.31704,0.06891,NA,NA,NA,NA,NA,24.292990264799997
Total,Less than BA/BS,Alcohol,2019-11-30,2019-11-01,0.31876,0.06767000000000001,NA,NA,NA,NA,NA,24.412288789199998
Total,Less than BA/BS,Alcohol,2019-12-31,2019-12-01,0.3205,0.059680000000000004,NA,NA,NA,NA,NA,24.532569940000002
Total,Less than BA/BS,Alcohol,2020-01-31,2020-01-01,0.32223999999999997,0.054200000000000005,NA,NA,NA,NA,NA,24.6527069632
Total,Less than BA/BS,Alcohol,2020-02-29,2020-02-01,0.32399,0.05577,1,15.628,-22.06,71.538,0.46325,24.7743132971
Total,Less than BA/BS,Alcohol,2020-03-31,2020-03-01,0.37462999999999996,0.07319000000000002,NA,NA,NA,NA,NA,28.631393707699996
Total,Less than BA/BS,Alcohol,2020-04-30,2020-04-01,0.43317000000000005,0.07887000000000001,NA,NA,NA,NA,NA,33.088383522
Total,Less than BA/BS,Alcohol,2020-05-31,2020-05-01,0.50087,0.07777000000000002,2,-8.095,-14.662,-1.023,0.02644,38.239471107
Total,Less than BA/BS,Alcohol,2020-06-30,2020-06-01,0.46032000000000006,0.07079000000000002,NA,NA,NA,NA,NA,35.125596811200005
Total,Less than BA/BS,Alcohol,2020-07-31,2020-07-01,0.42306000000000005,0.07887000000000001,NA,NA,NA,NA,NA,32.265267414600004
Total,Less than BA/BS,Alcohol,2020-08-31,2020-08-01,0.38881000000000004,0.08103,NA,NA,NA,NA,NA,29.6373960671
Total,Less than BA/BS,Alcohol,2020-09-30,2020-09-01,0.35734,0.05879,NA,NA,NA,NA,NA,27.2245625248
